"","PID","YEAR","PROJECT_LENGTH","PROJECT_PAGE_LOCATION_STATE","CATEGORY","GOAL_IN_USD","PLEDGED_IN_USD","BACKERS_COUNT","SITE_PREDICTION","OUTCOME"
"434",1359475866,2020,30,"CA","Film & Video",277000,0,0,50,"failed    "
"435",1262737229,2021,45,"TX","Film & Video",275000,11,2,66,"failed    "
"437",1154765500,2020,30,"NY","Film & Video",275000,25,1,57,"failed    "
"438",758160970,2020,50,"CA","Film & Video",275000,0,0,46,"failed    "
"439",1096752348,2022,45,"PA","Dance",275000,21,2,66,"failed    "
"441",200949821,2023,25,"NY","Film & Video",272221,1,1,59,"failed    "
"442",1630071809,2020,30,"CA","Art",270000,0,0,32,"failed    "
"444",1022893691,2024,60,"CA","Games",270000,34,5,38,"failed    "
"445",322310498,2022,42,"CA","Art",265000,385,5,59,"failed    "
"448",440084222,2022,30,"CA","Film & Video",260000,100,4,44,"canceled  "
"449",386076408,2022,36,"CA","Film & Video",260000,26,2,48,"failed    "
"451",812563143,2020,30,"CA","Games",255475,25,2,53,"failed    "
"452",1736671167,2021,28,"NY","Film & Video",255000,56,3,61,"failed    "
"453",2014931108,2021,30,"CA","Film & Video",250000,40,3,40,"failed    "
"456",73362877,2020,29,"CA","Games",250000,194,10,41,"failed    "
"457",1918433075,2022,45,"NY","Film & Video",250000,20,1,33,"failed    "
"458",1955272867,2021,45,"CA","Games",250000,120,1,65,"failed    "
"460",895865147,2024,30,"CA","Film & Video",250000,1,1,46,"failed    "
"461",1958412970,2021,30,"TX","Film & Video",250000,0,0,41,"failed    "
"462",1641676503,2020,60,"CA","Film & Video",250000,40,2,46,"failed    "
"463",1697974019,2021,60,"CA","Film & Video",250000,2,2,34,"failed    "
"465",504745215,2020,60,"TX","Film & Video",250000,0,0,82,"failed    "
"466",736957908,2025,60,"TX","Film & Video",250000,1,1,61,"canceled  "
"467",1580925119,2020,60,"TX","Film & Video",250000,0,0,54,"failed    "
